number,value,datetime_start,datetime_complete,duration,params_BASE_SPREAD,params_INVENTORY_EXTREME,params_MAX_POSITION,params_MAX_SPREAD,params_MIN_ORDER_SIZE,params_MIN_SPREAD,params_ORDER_LEVELS,params_ORDER_SIZE_INCREMENT,params_STOP_LOSS_PCT,params_TAKE_PROFIT_PCT,params_VOLATILITY_STD,params_VOLATILITY_WINDOW,params_maker_fee,params_volume_cap_ratio,user_attrs_max_drawdown,user_attrs_net_pnl,user_attrs_sharpe_like,state
0,-0.00763,2025-08-21 05:33:15.359484,2025-08-21 05:33:19.926463,0 days 00:00:04.566979,0.0005105141196808932,0.6029723663065719,0.010700830362937551,0.013992176148602526,0.0006742959665027096,0.0003088175323198851,8,0.00019160663409503232,0.01204270241733165,0.026076594086788082,1.1964303034284074,50,0.00020736436969650553,0.41522114987471,0.00763,-0.00763,-0.0316,COMPLETE
1,-0.007526,2025-08-21 05:33:20.039625,2025-08-21 05:33:25.879660,0 days 00:00:05.840035,0.0014931785124853091,0.5018584708475721,0.015624149737218106,0.006469955235531901,0.00011155002724347035,0.00012567359930143503,10,0.00453770342460037,0.0015591526127882059,0.004707185740700189,1.2595702260502113,34,-1.8877675173322506e-05,0.07429220198463714,0.007526,-0.007526,-0.0316,COMPLETE
2,-0.007565,2025-08-21 05:33:25.955398,2025-08-21 05:33:33.522759,0 days 00:00:07.567361,0.0037442182686608727,0.7508166989577657,0.11218600675683509,0.004013366664676959,0.0005984873003345966,0.00029688708386198595,5,0.0007939313894958933,0.0019171570880027774,0.00878762823924105,1.8072091997265938,58,-9.00773304885163e-05,0.23808168544252814,0.007565,-0.007565,-0.0316,COMPLETE
3,-0.007748,2025-08-21 05:33:33.583403,2025-08-21 05:33:37.742684,0 days 00:00:04.159281,0.0007303771771311532,0.719341488140403,0.311064260155035,0.0022232214252323095,0.003795739574585835,0.00014744744370372175,9,0.004952899987846231,0.03159429487677084,0.015057667416263477,1.5630111520423284,98,0.0004228363985321132,0.46224773831759125,0.007748,-0.007748,-0.0316,COMPLETE
4,-0.007574,2025-08-21 05:33:37.800209,2025-08-21 05:33:42.113178,0 days 00:00:04.312969,0.0017206763717032955,0.6653947553084787,0.06256813842432289,0.0042339605874887835,0.00018029573252397653,0.0002736829658738338,3,0.0031569259483474918,0.014023897655921453,0.040126243109515645,2.2056469167162716,29,-0.00010649952600282689,0.1552213463676948,0.007574,-0.007574,-0.0316,COMPLETE
5,-0.007673,2025-08-21 05:33:42.182335,2025-08-21 05:33:46.623573,0 days 00:00:04.441238,0.004573059506479879,0.6854658133624877,0.5795580327381806,0.006861711523313589,0.003417673451653116,0.00029872535357410723,9,0.0027409628947986492,0.004965929366410335,0.00613716054263101,2.7793523884865374,61,0.00028751288293835814,0.13610746812905883,0.007673,-0.007673,-0.0316,COMPLETE
6,-0.007548,2025-08-21 05:33:46.681844,2025-08-21 05:33:50.301191,0 days 00:00:03.619347,0.003446561744387466,0.5594070077671428,0.03682821134580074,0.005482865700060932,0.002796843108714035,0.0014591180730419329,9,0.004386882487529788,0.013773782512036665,0.011506188627153378,1.1888893033127832,95,5.884379482523086e-05,0.49286497739796725,0.007548,-0.007548,-0.0316,COMPLETE
7,-0.007632,2025-08-21 05:33:50.386402,2025-08-21 05:33:55.643313,0 days 00:00:05.256911,0.00194073815597297,0.8060863972113966,0.029092818142680558,0.006232470739413931,0.001136275177535782,0.000506534858144331,6,0.004128682642502277,0.002018426618943931,0.005145314046775319,1.3489660582152099,32,-0.00021260108730353016,0.4029945197508768,0.007632,-0.007632,-0.0316,COMPLETE
8,-0.00759,2025-08-21 05:33:55.705531,2025-08-21 05:33:59.735391,0 days 00:00:04.029860,0.002063062597380746,0.7997364406764568,0.05566486746513783,0.0024198883794170956,0.005835153072380906,0.0007113415256892582,9,0.0010592757985500606,0.0013271462996463847,0.0017297420607440567,2.8200616365946023,100,-0.0001353881666641222,0.15071533983156163,0.00759,-0.00759,-0.0316,COMPLETE
9,-0.007646,2025-08-21 05:33:59.789488,2025-08-21 05:34:02.995095,0 days 00:00:03.205607,0.0016346350802223947,0.7884152839070334,0.026631037376340747,0.006559964537305301,0.00024214188094599088,0.000667773717852823,1,0.00023831488229087152,0.007278197493362734,0.021827075815863232,1.6157514664924886,83,-0.0002371094050301789,0.07504011372918165,0.007646,-0.007646,-0.0316,COMPLETE
10,-0.007532,2025-08-21 05:34:03.043926,2025-08-21 05:34:06.040625,0 days 00:00:02.996699,0.0009759320023738063,0.9367725232735574,0.01018510785323483,0.017764154328065065,0.00013702113489903476,0.0001023390893041212,6,0.0016260715813687793,0.0034181888602418976,0.001962043037683425,2.1927210137162385,14,2.917990284071846e-05,0.2938254152384041,0.007532,-0.007532,-0.0316,COMPLETE
11,-0.00754,2025-08-21 05:34:06.096395,2025-08-21 05:34:09.965434,0 days 00:00:03.869039,0.0009631485496378655,0.9300684601987113,0.010313611268679704,0.01775516027298194,0.00010216592247206067,0.00010162349028580594,6,0.0018159702662913233,0.004000978313494717,0.002175203596573852,2.282125485191301,10,4.453326057215341e-05,0.3132024613731209,0.00754,-0.00754,-0.0316,COMPLETE
12,-0.007541,2025-08-21 05:34:10.019523,2025-08-21 05:34:12.937091,0 days 00:00:02.917568,0.0011072843331119077,0.5072830839132448,0.01665033418640401,0.011348611702234205,0.00010269891932320214,0.00015321949725734252,4,0.0018233164681507215,0.0010238260151589642,0.0032464968980656034,2.3242506736718584,10,4.518490895973257e-05,0.293018004251966,0.007541,-0.007541,-0.0316,COMPLETE
13,-0.007606,2025-08-21 05:34:12.989999,2025-08-21 05:34:16.121884,0 days 00:00:03.131885,0.0011269025425512606,0.93770195293983,0.1447236052273765,0.0012439129969182795,0.000297743948716714,0.00010056593024720393,2,0.003456387385446589,0.002982358979258342,0.0010903384049444564,1.9815989500060038,28,0.00016385477021942395,0.25071505660698806,0.007606,-0.007606,-0.0316,COMPLETE
14,-0.007519,2025-08-21 05:34:16.172385,2025-08-21 05:34:20.013258,0 days 00:00:03.840873,0.0026405025582389593,0.8601391699439542,0.020192688933548995,0.009673100889681766,0.000390035112237647,0.0001753626428387608,7,0.001894504545291371,0.0024411895567165343,0.003491809906347015,2.5400533901953346,40,-5.87387373992817e-06,0.349558561266658,0.007519,-0.007519,-0.0316,COMPLETE
15,-0.007538,2025-08-21 05:34:20.059859,2025-08-21 05:34:23.570262,0 days 00:00:03.510403,0.0028521339408470003,0.8600378068766874,0.0200794181605432,0.010629820857521833,0.0004221370963338578,0.002794276835687961,7,0.00231985393079421,0.0018175188942130367,0.0038894887052680865,2.594719575539083,45,-4.1043794789487736e-05,0.055668765942450044,0.007538,-0.007538,-0.0316,COMPLETE
16,-0.007626,2025-08-21 05:34:23.615356,2025-08-21 05:34:27.364702,0 days 00:00:03.749346,0.0023746125736736376,0.8730863546337702,0.05171420735707549,0.009018015152201396,0.0014651896768855465,0.0001827541360817056,10,0.0037706506744885535,0.0025375250372967843,0.003400679927617413,2.5418025556808987,71,0.00020039387692611255,0.35632669717986254,0.007626,-0.007626,-0.0316,COMPLETE
17,-0.007685,2025-08-21 05:34:27.413331,2025-08-21 05:34:31.017672,0 days 00:00:03.604341,0.002528418072819255,0.6277495612723608,0.21331030279997265,0.008475075614116772,0.0003362784607961838,0.00021021549560174086,10,0.0025666094992557622,0.005763580581448283,0.007248375416352089,2.9490732692654045,39,0.00030904141246016436,0.20799126678343233,0.007685,-0.007685,-0.0316,COMPLETE
18,-0.00753,2025-08-21 05:34:31.061831,2025-08-21 05:34:34.617993,0 days 00:00:03.556162,0.001462604853480895,0.5015789845473941,0.01652169436105383,0.0033348261536099173,0.00017646740193446266,0.00014310049158389196,7,0.001369079108655581,0.0010467083468134663,0.0012650178088175947,1.9025123397541552,21,-2.6153119392847044e-05,0.35000378918713243,0.00753,-0.00753,-0.0316,COMPLETE
19,-0.007579,2025-08-21 05:34:34.666103,2025-08-21 05:34:37.671767,0 days 00:00:03.005664,0.0013383865217711087,0.8695243500153107,0.07747864000613086,0.013761826263708588,0.0005976977700804557,0.0002251189579490952,8,0.004977687333794053,0.008546700375368367,0.002649131319239748,1.6103633161083017,40,0.00011419846065136138,0.20006367736223696,0.007579,-0.007579,-0.0316,COMPLETE
20,-0.00761,2025-08-21 05:34:37.742636,2025-08-21 05:34:41.665744,0 days 00:00:03.923108,0.0031822125961112543,0.5617364517272556,0.039175860780478966,0.010329424017226887,0.009884931160936382,0.00041470101815826077,4,0.003235694094262817,0.043427453005126355,0.004863156601247889,1.0174050261564473,67,-0.00017094589377742082,0.3573170401042031,0.00761,-0.00761,-0.0316,COMPLETE
21,-0.00754,2025-08-21 05:34:41.727391,2025-08-21 05:34:44.938065,0 days 00:00:03.210674,0.0012942149060161737,0.5179157032055441,0.017504890831643832,0.0034123326924813914,0.00018944219211728267,0.00013056194067237345,7,0.0012109837528930603,0.0011660949591402322,0.0010857854512427271,1.97024514545606,24,-4.4722115234237743e-05,0.3470250013768267,0.00754,-0.00754,-0.0316,COMPLETE
