number,value,datetime_start,datetime_complete,duration,params_base_order_size_pct_of_balance,params_base_spread_pct,params_dynamic_spread_enabled,params_inventory_enabled,params_max_inventory_ratio,params_max_outstanding_orders,params_min_profit_spread_after_fees_pct,params_price_change_smoothing_factor,params_skew_intensity,params_volatility_multiplier,state
0,,2025-08-25 22:19:10.654071,2025-08-25 22:19:10.720147,0 days 00:00:00.066076,,,,,,,,,,,FAIL
1,-inf,2025-08-25 22:24:53.706667,2025-08-25 22:24:54.033119,0 days 00:00:00.326452,0.015,0.0002684563116754919,True,True,0.45,2.0,0.0001642800726993646,0.7000000000000001,0.5034324880549754,3.2540492617337677,COMPLETE
2,-inf,2025-08-25 22:24:54.195705,2025-08-25 22:24:54.353150,0 days 00:00:00.157445,0.014000000000000002,0.00011322136467108848,True,False,,8.0,0.0001337986626682122,0.1,,2.902210798910773,COMPLETE
3,-inf,2025-08-25 22:24:54.502131,2025-08-25 22:24:54.657065,0 days 00:00:00.154934,0.017,0.0006735501859044575,True,False,,7.0,5.563720090579644e-05,0.2,,3.321885593741988,COMPLETE
4,-inf,2025-08-25 22:24:54.810739,2025-08-25 22:24:55.006975,0 days 00:00:00.196236,0.007,0.003486153072172958,True,True,0.25,5.0,0.0004680015470262258,0.9,1.853699662790307,3.811643740576433,COMPLETE
5,-inf,2025-08-25 22:24:55.159945,2025-08-25 22:24:55.350918,0 days 00:00:00.190973,0.02,0.0001641759990225422,True,True,0.8500000000000001,3.0,1.0635045933265349e-05,0.5,1.7257714471140437,0.9705409251026912,COMPLETE
6,-inf,2025-08-25 22:24:55.511014,2025-08-25 22:24:55.642291,0 days 00:00:00.131277,0.013000000000000001,0.0007758999102242907,False,False,,9.0,0.00010273330082636108,,,,COMPLETE
7,-inf,2025-08-25 22:24:55.800783,2025-08-25 22:24:55.938063,0 days 00:00:00.137280,0.004,0.0011357852629697005,False,False,,6.0,0.0004420533055657553,,,,COMPLETE
8,-inf,2025-08-25 22:24:56.099908,2025-08-25 22:24:56.264473,0 days 00:00:00.164565,0.012,0.0003025348222102059,False,True,0.25,6.0,1.1549522122035955e-05,,0.3523617032322212,,COMPLETE
9,-inf,2025-08-25 22:24:56.422837,2025-08-25 22:24:56.596383,0 days 00:00:00.173546,0.007,0.0014504801157188658,False,True,0.8500000000000001,10.0,0.00019930151524396247,,1.4226387129704634,,COMPLETE
10,-inf,2025-08-25 22:24:56.758762,2025-08-25 22:24:56.928687,0 days 00:00:00.169925,0.006,0.00023389609676866308,True,False,,8.0,1.3314769891622105e-05,0.7000000000000001,,1.5326027554431634,COMPLETE
11,-inf,2025-08-25 22:24:57.091976,2025-08-25 22:24:57.331961,0 days 00:00:00.239985,0.017,0.000370583790509936,True,True,0.55,1.0,4.135123811343554e-05,0.5,0.38778163423682865,4.948813550752119,COMPLETE
12,-inf,2025-08-25 22:24:57.506968,2025-08-25 22:24:57.737437,0 days 00:00:00.230469,0.015,0.00010009332008150349,True,False,,1.0,0.0001690496562262528,0.1,,2.6596713499020352,COMPLETE
13,-inf,2025-08-25 22:24:57.887270,2025-08-25 22:24:58.082325,0 days 00:00:00.195055,0.010000000000000002,0.00010056459666305717,True,False,,4.0,0.00017385945230193373,0.30000000000000004,,2.3794023635064407,COMPLETE
14,-inf,2025-08-25 22:24:58.236125,2025-08-25 22:24:58.478431,0 days 00:00:00.242306,0.001,0.00020784259053565913,True,True,0.55,3.0,9.487810204178332e-05,0.7000000000000001,0.889287496061766,4.208004892016877,COMPLETE
15,-inf,2025-08-25 22:24:58.636793,2025-08-25 22:24:58.892199,0 days 00:00:00.255406,0.010000000000000002,0.0004379392601513789,True,True,0.05,8.0,3.330921703661905e-05,0.7000000000000001,0.7562444256447649,2.5757140832423855,COMPLETE
16,-inf,2025-08-25 22:24:59.049611,2025-08-25 22:24:59.243650,0 days 00:00:00.194039,0.02,0.00015660213548045052,True,False,,2.0,0.00025339600687779887,0.30000000000000004,,0.12960953792449725,COMPLETE
17,-inf,2025-08-25 22:24:59.406543,2025-08-25 22:24:59.653398,0 days 00:00:00.246855,0.015,0.0005261433739503294,True,True,0.4,10.0,0.00010381484253018128,0.9,0.1475647889097298,3.346251396629098,COMPLETE
18,-inf,2025-08-25 22:24:59.807044,2025-08-25 22:25:00.009895,0 days 00:00:00.202851,0.017,0.0001519217159458585,True,False,,4.0,2.323006877697764e-05,0.6,,1.8821815249057932,COMPLETE
19,-inf,2025-08-25 22:25:00.166850,2025-08-25 22:25:00.337938,0 days 00:00:00.171088,0.013000000000000001,0.0044737694951909966,False,False,,7.0,0.0002845845242707925,,,,COMPLETE
20,-inf,2025-08-25 22:25:00.495444,2025-08-25 22:25:00.725874,0 days 00:00:00.230430,0.015,0.0002562311502357518,True,True,0.7000000000000001,5.0,7.62364979655529e-05,0.4,1.1960921167302128,3.2087448056243004,COMPLETE
21,-inf,2025-08-25 22:25:00.882924,2025-08-25 22:25:01.088079,0 days 00:00:00.205155,0.011,0.0019264038561761152,True,False,,8.0,0.0001361625327177946,0.1,,4.383669600686004,COMPLETE
22,-inf,2025-08-25 22:25:01.239072,2025-08-25 22:25:01.430704,0 days 00:00:00.191632,0.018000000000000002,0.0006697019021339202,True,False,,7.0,5.153282101314152e-05,0.2,,3.275781018799725,COMPLETE
23,-inf,2025-08-25 22:25:01.579436,2025-08-25 22:25:01.775474,0 days 00:00:00.196038,0.018000000000000002,0.0008685218240145725,True,False,,7.0,6.689051525719854e-05,0.2,,2.989607265961625,COMPLETE
24,-inf,2025-08-25 22:25:01.962364,2025-08-25 22:25:02.162241,0 days 00:00:00.199877,0.014000000000000002,0.0005153297857196683,True,False,,9.0,6.003717785926927e-05,0.1,,3.7188714524780915,COMPLETE
