number,value,state,net_pnl,max_drawdown,sharpe_like,maker_fee,volume_cap_ratio,fill_on_touch,rng_seed,MIN_SPREAD,BASE_SPREAD_raw,MAX_SPREAD,ORDER_LEVELS,MIN_ORDER_SIZE,ORDER_SIZE_INCREMENT,MAX_POSITION,INVENTORY_EXTREME,VOLATILITY_WINDOW,VOLATILITY_STD,STOP_LOSS_PCT,TAKE_PROFIT_PCT
0,0.0076679999999999995,1,0.008943,0.0051,0.0343,0.00045350256047689704,0.5769432715637087,True,10,5.6615155062096477e-05,0.00018319773496680504,0.0005354680766285416,7,0.06068798856252805,0.05350722236819961,0.6160367864531583,0.6766086531951544,113,2.6311931161400213,0.0059640576589008645,0.0020683619430958947
1,0.01004125,1,0.011293,0.005007,0.0431,-8.860174895366089e-05,0.24352694557321952,True,9,0.0008600214717197376,0.0001266567672126507,0.009081875033843716,7,0.05183694085035826,0.03814485961159545,4.525430921711495,0.9692744152679524,190,1.4755101611965185,0.010918457882971409,0.002320122835422555
2,0.0,1,0.0,0.0,0.0,-2.6360504789316702e-05,0.3260987349724345,False,7,6.330275917516219e-05,0.0003663321518605961,0.0008381366821376366,6,0.02135012073338291,0.0015559143324530077,1.4696564446693396,0.8920723262059903,100,1.6701660274864125,0.008533221086798772,0.009016420983081464
3,0.0,1,0.0,0.0,0.0,0.00020986612242482292,0.5605580958651253,False,4,0.00013748355366883372,0.0006316019723917292,0.005767646563966917,1,0.0031304675689707573,0.0025537525203699453,0.025334916842665537,0.6705144983134538,164,1.9942571197618992,0.0027350206887584816,0.01135926680354034
4,0.010566250000000001,1,0.011813,0.004987,0.0451,-7.944758077935135e-06,0.395002389870995,True,3,0.0007032734548646127,0.0027530784247190797,0.011967494412780949,3,0.007969804105737346,0.007085271358811163,0.3141750520543411,0.8091002617142172,103,2.768756641033833,0.01771705387119046,0.00934977770318556
5,0.00917175,1,0.010432,0.005041,0.0399,-0.00022241441229893543,0.43664834782073014,True,8,0.0006112763284519956,0.0034345678167121423,0.013207812925268165,4,0.002426218185607126,0.0015431512401811115,0.010009158854671595,0.7732535247580624,104,1.860201948277801,0.01026536439309572,0.0027013721980716117
6,0.0076932500000000004,1,0.008968,0.005099,0.0344,0.0004497078174218731,0.30299318922545804,True,5,0.00017695597219447785,0.0021073788339149354,0.004252775453809036,3,0.11961608757924336,0.07544053746902657,3.99740103901206,0.676937098086506,65,2.73118640401818,0.00207996744617761,0.012759395658984174
7,0.010034,1,0.011286,0.005008,0.0431,-8.977932720519539e-05,0.08517183959512006,True,7,0.0006344457445276803,0.0006799555010587028,0.0036542060304352005,1,0.052081068209159746,0.025162085184186746,0.15426486908391196,0.7879404899438532,41,1.0661371165194788,0.0037424190828886823,0.009872583117807168
8,0.0,1,0.0,0.0,0.0,0.0005984583606506733,0.5555234540998394,False,5,5.721998511918124e-05,0.0034599853115828043,0.011258318949370611,1,0.028485838455138465,0.013957966279237895,0.549314761320913,0.7451099988664461,142,1.0996000907295176,0.003660012938163716,0.004435560303674761
9,0.0086475,1,0.009913,0.005062,0.038,0.0003030010943173813,0.08987973260224727,True,8,5.913162461489516e-05,0.0025227863909047374,0.007512415214933194,4,0.006540152115869883,0.002761472203285725,0.039078502592470934,0.7443126033565667,183,1.0891686887205039,0.010881669876765011,0.01488097631535711
